Rating Agency;Corporation;Rating;Rating Date;CIK;Binary Rating;SIC Code;Sector;Ticker;Current Ratio;Long-term Debt / Capital;Debt/Equity Ratio;Gross Margin;Operating Margin;EBIT Margin;EBITDA Margin;Pre-Tax Profit Margin;Net Profit Margin;Asset Turnover;ROE - Return On Equity;Return On Tangible Equity;ROA - Return On Assets;ROI - Return On Investment;Operating Cash Flow Per Share;Free Cash Flow Per Share;
Moody's Investors Service;Lamar Advertising Company;BB-;15-06-2012;1090425;0;6798.0;Money;LAMR;15.905;0.7185;25.727;638.236;162.376;162.376;443.752;10.967;0.5742;0.3299;0.8174;-0.6441;0.2001;0.2301;-0.0772;-0.7057;
Standard & Poor's Ratings Services;Laredo Petroleum Inc.;B-;24-04-2012;1528129;0;1311.0;Enrgy;LPI;0.5735;0.456;0.8381;909.062;399.963;399.963;758.026;327.025;208.462;0.3111;13.944;13.944;6.511;75.861;636.594;-671.072;
Moody's Investors Service;Laredo Petroleum, Inc.;B-;15-06-2012;1528129;0;1311.0;Enrgy;LPI;0.5735;0.456;0.8381;909.062;399.963;399.963;758.026;327.025;208.462;0.3111;13.944;13.944;6.511;75.861;636.594;-671.072;
Moody's Investors Service;Las Vegas Sands Corp.;BB;15-06-2012;1300514;0;7990.0;Other;LVS;2.16;0.5036;10.629;476.909;253.953;253.953;347.096;222.599;13.49;0.4231;199.501;201.208;84.657;99.027;0.9177;15.605;
Fitch Ratings;Las Vegas Sands, LLC;BBB-;07-12-2012;1300514;1;7990.0;Other;LVS;2.16;0.5036;10.629;476.909;253.953;253.953;347.096;222.599;13.49;0.4231;199.501;201.208;84.657;99.027;0.9177;15.605;
Moody's Investors Service;Lear Corporation;BB;15-06-2012;842162;0;2531.0;Manuf;LEA;15.543;0.2135;0.2715;84.286;48.006;48.006;65.405;43.492;38.194;20.192;222.717;295.162;81.359;175.157;16.797;0.3691;
Moody's Investors Service;Leidos Holdings, Inc.;A-;15-06-2012;1336920;1;7373.0;BusEq;LDOS;13.987;0.3733;0.8492;83.105;-0.9938;-0.9938;0.5141;-27.759;0.9767;0.8754;-107.749;-1.146.341;-35.248;-67.529;47.619;50.238;
Standard & Poor's Ratings Services;Leidos Holdings, Inc.;A-;31-08-2012;1336920;1;7373.0;BusEq;LDOS;13.987;0.3733;0.8492;83.105;-0.9938;-0.9938;0.5141;-27.759;0.9767;0.8754;-107.749;-1.146.341;-35.248;-67.529;47.619;50.238;
Moody's Investors Service;Lennar Corporation;B;15-06-2012;920760;0;1531.0;Other;LEN;48.843;0.5044;12.589;64.202;33.428;33.428;47.042;31.652;2.94;0.3381;34.068;34.068;12.294;16.883;-27.796;-28.037;
Moody's Investors Service;Lennar Corporation;B;17-07-2012;920760;0;1531.0;Other;LEN;48.843;0.5044;12.589;64.202;33.428;33.428;47.042;31.652;2.94;0.3381;34.068;34.068;12.294;16.883;-27.796;-28.037;
Fitch Ratings;Lennar Corporation;BB+;18-07-2012;920760;0;1531.0;Other;LEN;48.843;0.5044;12.589;64.202;33.428;33.428;47.042;31.652;2.94;0.3381;34.068;34.068;12.294;16.883;-27.796;-28.037;
Moody's Investors Service;Lennar Corporation;B+;18-10-2012;920760;0;1531.0;Other;LEN;48.843;0.5044;12.589;64.202;33.428;33.428;47.042;31.652;2.94;0.3381;34.068;34.068;12.294;16.883;-27.796;-28.037;
Moody's Investors Service;Lennox International Inc.;BBB-;15-06-2012;1069202;1;3585.0;Manuf;LII;17.548;0.4956;0.9942;235.806;64.909;64.909;84.832;5.889;31.082;16.655;23.835;455.846;65.369;120.229;-19.027;-19.037;
Moody's Investors Service;Lions Gate Entertainment, Inc.;B+;15-06-2012;929351;0;7812.0;Other;LGF;0.9539;0.9274;186.913;427.807;21.096;21.096;413.906;-21.683;-2.464;0.5694;-435.685;165.161;-14.031;-3.163;-38.839;-38.704;
Moody's Investors Service;Live Nation Entertainment, Inc.;BB;15-06-2012;1335258;0;7900.0;Other;LYV;10.564;0.5055;10.547;296.157;0.3406;0.3406;69.542;-17.947;-15.419;10.604;-43.542;78.961;-13.866;-21.533;-0.2202;-0.3499;
Moody's Investors Service;Live Nation Entertainment, Inc.;B-;15-08-2012;1335258;0;7900.0;Other;LYV;10.564;0.5055;10.547;296.157;0.3406;0.3406;69.542;-17.947;-15.419;10.604;-43.542;78.961;-13.866;-21.533;-0.2202;-0.3499;
Moody's Investors Service;Lockheed Martin Corporation;BBB+;15-06-2012;936468;1;3760.0;Manuf;LMT;11.619;0.8658;64.535;80.518;86.453;86.453;108.131;78.088;57.098;12.266;2.664.336;-291.571;70.355;357.459;21.921;22.044;
Moody's Investors Service;Lockheed Martin Corporation;BBB+;14-12-2012;936468;1;3760.0;Manuf;LMT;11.619;0.8658;64.535;80.518;86.453;86.453;108.131;78.088;57.098;12.266;2.664.336;-291.571;70.355;357.459;21.921;22.044;
Fitch Ratings;Lockheed Martin Corporation;A-;17-12-2012;936468;1;3760.0;Manuf;LMT;11.619;0.8658;64.535;80.518;86.453;86.453;108.131;78.088;57.098;12.266;2.664.336;-291.571;70.355;357.459;21.921;22.044;
Standard & Poor's Ratings Services;Louisiana-Pacific Corp.;B;27-02-2012;60519;0;2400.0;Other;LPX;47.082;0.417;0.7284;79.852;-109.656;-109.656;-50.726;-142.771;-136.449;0.6209;-175.342;-175.588;-82.013;-102.225;-0.6721;-0.7362;
Standard & Poor's Ratings Services;Louisiana-Pacific Corp.;B;30-08-2012;60519;0;2400.0;Other;LPX;47.082;0.417;0.7284;79.852;-109.656;-109.656;-50.726;-142.771;-136.449;0.6209;-175.342;-175.588;-82.013;-102.225;-0.6721;-0.7362;
Moody's Investors Service;Louisiana-Pacific Corporation;B+;15-06-2012;60519;0;2400.0;Other;LPX;47.082;0.417;0.7284;79.852;-109.656;-109.656;-50.726;-142.771;-136.449;0.6209;-175.342;-175.588;-82.013;-102.225;-0.6721;-0.7362;
Standard & Poor's Ratings Services;LyondellBasell Industries N.V.;BB+;26-03-2012;1489393;0;2820.0;Chems;LYB;28.522;0.3423;0.5245;103.033;76.941;76.941;114.256;222.861;260.433;1.539;847.102;1.018.878;38.823;557.112;36.223;26.702;
Moody's Investors Service;LyondellBasell Industries N.V.;BB;15-06-2012;1489393;0;2820.0;Chems;LYB;28.522;0.3423;0.5245;103.033;76.941;76.941;114.256;222.861;260.433;1.539;847.102;1.018.878;38.823;557.112;36.223;26.702;
Standard & Poor's Ratings Services;LyondellBasell Industries N.V.;BB+;26-09-2012;1489393;0;2820.0;Chems;LYB;28.522;0.3423;0.5245;103.033;76.941;76.941;114.256;222.861;260.433;1.539;847.102;1.018.878;38.823;557.112;36.223;26.702;
Moody's Investors Service;LyondellBasell Industries N.V.;BBB-;19-11-2012;1489393;1;2820.0;Chems;LYB;28.522;0.3423;0.5245;103.033;76.941;76.941;114.256;222.861;260.433;1.539;847.102;1.018.878;38.823;557.112;36.223;26.702;
Moody's Investors Service;M.D.C. Holdings, Inc.;BBB-;15-06-2012;773141;1;1531.0;Other;MDC;92.379;0.4772;0.9127;141.555;-86.257;-86.257;-77.193;-127.471;-117.542;0.4536;-11.327;-11.327;-52.934;-5.922;2.093;17.105;
Standard & Poor's Ratings Services;M/I Homes, Inc.;CCC;23-03-2012;799292;0;1531.0;Other;MHO;73.736;0.5211;10.881;17.53;-33.362;-33.362;-1.999;-59.853;-59.809;0.8524;-191.368;-123.933;-50.982;-59.353;0.1975;0.2094;
Standard & Poor's Ratings Services;M/I Homes, Inc.;CCC;25-05-2012;799292;0;1531.0;Other;MHO;73.736;0.5211;10.881;17.53;-33.362;-33.362;-1.999;-59.853;-59.809;0.8524;-191.368;-123.933;-50.982;-59.353;0.1975;0.2094;
Moody's Investors Service;M/I Homes, Inc.;CCC+;15-06-2012;799292;0;1531.0;Other;MHO;73.736;0.5211;10.881;17.53;-33.362;-33.362;-1.999;-59.853;-59.809;0.8524;-191.368;-123.933;-50.982;-59.353;0.1975;0.2094;
Standard & Poor's Ratings Services;M/I Homes, Inc.;C;05-09-2012;799292;0;1531.0;Other;MHO;73.736;0.5211;10.881;17.53;-33.362;-33.362;-1.999;-59.853;-59.809;0.8524;-191.368;-123.933;-50.982;-59.353;0.1975;0.2094;
Moody's Investors Service;M/I Homes, Inc.;CCC;24-09-2012;799292;0;1531.0;Other;MHO;73.736;0.5211;10.881;17.53;-33.362;-33.362;-1.999;-59.853;-59.809;0.8524;-191.368;-123.933;-50.982;-59.353;0.1975;0.2094;
Standard & Poor's Ratings Services;M/I Homes, Inc.;CCC;29-11-2012;799292;0;1531.0;Other;MHO;73.736;0.5211;10.881;17.53;-33.362;-33.362;-1.999;-59.853;-59.809;0.8524;-191.368;-123.933;-50.982;-59.353;0.1975;0.2094;
Fitch Ratings;MDU Resources Group, Inc.;BBB+;15-06-2012;67716;1;4932.0;Utils;MDU;15.196;0.3475;0.567;838.639;105.054;105.054;189.163;93.754;61.379;0.6202;91.127;120.036;38.712;59.131;-16.418;-17.497;
Fitch Ratings;MGM Resorts International;BB-;15-06-2012;789570;0;7990.0;Other;MGM;1.168;0.8043;41.088;373.463;-191.369;-191.369;-72.246;-365.922;-237.351;0.3195;-490.218;-572.167;-75.845;-95.955;-0.4343;-0.42;
Moody's Investors Service;MGM Resorts International;B-;14-09-2012;789570;0;7990.0;Other;MGM;1.168;0.8043;41.088;373.463;-191.369;-191.369;-72.246;-365.922;-237.351;0.3195;-490.218;-572.167;-75.845;-95.955;-0.4343;-0.42;
Fitch Ratings;MGM Resorts International;B-;17-09-2012;789570;0;7990.0;Other;MGM;1.168;0.8043;41.088;373.463;-191.369;-191.369;-72.246;-365.922;-237.351;0.3195;-490.218;-572.167;-75.845;-95.955;-0.4343;-0.42;
Moody's Investors Service;MGM Resorts International;B-;06-12-2012;789570;0;7990.0;Other;MGM;1.168;0.8043;41.088;373.463;-191.369;-191.369;-72.246;-365.922;-237.351;0.3195;-490.218;-572.167;-75.845;-95.955;-0.4343;-0.42;
Moody's Investors Service;MRC Global (US) Inc.;B-;15-06-2012;1439095;0;5051.0;Shops;MRC;25.913;0.6793;21.179;146.542;40.267;40.267;5.644;1.154;0.5998;14.962;40.207;-47.338;0.8974;12.896;-25.512;-25.946;
Standard & Poor's Ratings Services;MRC Global (US) Inc.;B;05-10-2012;1439095;0;5051.0;Shops;MRC;25.913;0.6793;21.179;146.542;40.267;40.267;5.644;1.154;0.5998;14.962;40.207;-47.338;0.8974;12.896;-25.512;-25.946;
Standard & Poor's Ratings Services;MRC Global (US) Inc.;B+;24-10-2012;1439095;0;5051.0;Shops;MRC;25.913;0.6793;21.179;146.542;40.267;40.267;5.644;1.154;0.5998;14.962;40.207;-47.338;0.8974;12.896;-25.512;-25.946;
Moody's Investors Service;MSCI Inc.;BB+;15-06-2012;1408198;0;6282.0;Money;MSCI;14.972;0.4496;0.8249;692.381;357.402;357.402;459.581;292.375;192.525;0.2913;132.871;-165.504;5.608;73.126;20.854;18.964;
Standard & Poor's Ratings Services;Madison Gas & Electric Co.;AAA;15-11-2012;61339;1;4931.0;Utils;MGEE;29.986;0.3958;0.6599;607.657;197.422;197.422;272.355;177.385;111.512;0.3745;110.587;110.587;41.763;66.818;0.1947;-0.0493;
Moody's Investors Service;Madison Gas and Electric Company;A+;15-06-2012;61339;1;4931.0;Utils;MGEE;29.986;0.3958;0.6599;607.657;197.422;197.422;272.355;177.385;111.512;0.3745;110.587;110.587;41.763;66.818;0.1947;-0.0493;
Standard & Poor's Ratings Services;Magellan Midstream Partners LP;BBB;24-07-2012;1126975;1;4610.0;Other;MMP;19.681;0.5952;14.704;59.611;299.026;299.026;369.371;237.571;23.654;0.4323;282.606;29.647;102.241;114.397;0.6168;0.8674;
Moody's Investors Service;Magellan Midstream Partners, L.P.;BBB;15-06-2012;1126975;1;4610.0;Other;MMP;19.681;0.5952;14.704;59.611;299.026;299.026;369.371;237.571;23.654;0.4323;282.606;29.647;102.241;114.397;0.6168;0.8674;
Moody's Investors Service;Magellan Midstream Partners, L.P.;BBB;02-11-2012;1126975;1;4610.0;Other;MMP;19.681;0.5952;14.704;59.611;299.026;299.026;369.371;237.571;23.654;0.4323;282.606;29.647;102.241;114.397;0.6168;0.8674;
DBRS;Magna International Inc.;A;08-06-2012;749098;1;3714.0;Durbl;MGA;15.175;0.0057;0.012;131.856;48.834;48.834;7.991;49.664;4.037;17.342;124.861;147.158;72.456;124.152;28.388;25.629;
Moody's Investors Service;ManTech International Corporation;BB;15-06-2012;892537;0;7373.0;BusEq;MANT;17.747;0.1551;0.1836;145.054;79.218;79.218;98.448;75.088;46.448;16.305;122.383;1.293.755;75.733;103.398;13.138;0.0557;
Standard & Poor's Ratings Services;ManpowerGroup Inc.;BBB-;13-06-2012;871763;1;7363.0;Other;MAN;14.814;0.2183;0.2912;172.019;-0.6466;-0.6466;-0.0631;-0.8756;-13.972;28.035;-109.962;-247.071;-3.917;-85.961;-30.431;-33.025;
Moody's Investors Service;ManpowerGroup Inc.;BBB-;15-06-2012;871763;1;7363.0;Other;MAN;14.814;0.2183;0.2912;172.019;-0.6466;-0.6466;-0.0631;-0.8756;-13.972;28.035;-109.962;-247.071;-3.917;-85.961;-30.431;-33.025;
Standard & Poor's Ratings Services;ManpowerGroup Inc.;BBB-;14-12-2012;871763;1;7363.0;Other;MAN;14.814;0.2183;0.2912;172.019;-0.6466;-0.6466;-0.0631;-0.8756;-13.972;28.035;-109.962;-247.071;-3.917;-85.961;-30.431;-33.025;
Fitch Ratings;Marathon Oil Corporation;BBB+;15-06-2012;101778;1;1311.0;Enrgy;MRO;0.7337;0.2141;0.2806;601.268;329.266;329.266;483.537;302.952;200.832;0.4676;100.122;103.351;54.764;78.688;0.8929;0.4813;
Moody's Investors Service;Marathon Oil Corporation;BBB;24-10-2012;101778;1;1311.0;Enrgy;MRO;0.7337;0.2141;0.2806;601.268;329.266;329.266;483.537;302.952;200.832;0.4676;100.122;103.351;54.764;78.688;0.8929;0.4813;
Moody's Investors Service;Marathon Petroleum Corporation;BBB;15-06-2012;1510295;1;2911.0;Enrgy;MPC;11.666;0.0315;0.1133;172.132;16.179;16.179;31.239;16.371;0.9954;26.897;7.557;8.411;26.816;73.191;-0.3324;29.972;
Standard & Poor's Ratings Services;Martin Marietta Materials Inc.;BBB;29-03-2012;916076;1;1400.0;Other;MLM;1.806;0.3475;0.7035;194.609;119.982;119.982;229.818;78.454;58.695;0.5375;67.261;119.823;32.118;43.886;-12.953;-11.214;
Standard & Poor's Ratings Services;Martin Marietta Materials Inc.;BBB+;20-04-2012;916076;1;1400.0;Other;MLM;1.806;0.3475;0.7035;194.609;119.982;119.982;229.818;78.454;58.695;0.5375;67.261;119.823;32.118;43.886;-12.953;-11.214;
Standard & Poor's Ratings Services;Martin Marietta Materials Inc.;A;11-06-2012;916076;1;1400.0;Other;MLM;1.806;0.3475;0.7035;194.609;119.982;119.982;229.818;78.454;58.695;0.5375;67.261;119.823;32.118;43.886;-12.953;-11.214;
Moody's Investors Service;Martin Marietta Materials, Inc.;BBB-;15-06-2012;916076;1;1400.0;Other;MLM;1.806;0.3475;0.7035;194.609;119.982;119.982;229.818;78.454;58.695;0.5375;67.261;119.823;32.118;43.886;-12.953;-11.214;
Moody's Investors Service;Martin Marietta Materials, Inc.;BB+;12-07-2012;916076;0;1400.0;Other;MLM;1.806;0.3475;0.7035;194.609;119.982;119.982;229.818;78.454;58.695;0.5375;67.261;119.823;32.118;43.886;-12.953;-11.214;
Moody's Investors Service;Martin Midstream Partners L.P.;B-;15-06-2012;1176334;0;5172.0;Shops;MMLP;18.229;0.5765;13.648;194.422;38.111;38.111;73.831;1.307;14.443;11.622;39.643;40.648;12.503;1.679;24.386;-0.4781;
Standard & Poor's Ratings Services;MasTec Inc.;BB-;11-04-2012;15615;0;1623.0;Other;MTZ;1.399;0.3622;0.6099;131.228;58.207;58.207;84.777;56.257;37.439;13.516;120.137;-6.834.217;46.525;76.623;-21.599;-25.808;
Standard & Poor's Ratings Services;MasTec Inc.;BB-;24-04-2012;15615;0;1623.0;Other;MTZ;1.399;0.3622;0.6099;131.228;58.207;58.207;84.777;56.257;37.439;13.516;120.137;-6.834.217;46.525;76.623;-21.599;-25.808;
Moody's Investors Service;MasTec, Inc.;B+;15-06-2012;15615;0;1623.0;Other;MTZ;1.399;0.3622;0.6099;131.228;58.207;58.207;84.777;56.257;37.439;13.516;120.137;-6.834.217;46.525;76.623;-21.599;-25.808;
Fitch Ratings;Masco Corporation;BB;15-06-2012;62996;0;3430.0;Manuf;MAS;14.511;0.8128;54.245;249.233;-29.986;-29.986;0.6695;-54.672;-80.614;0.9826;-474.394;26.171;-48.239;-88.799;-0.6456;-0.6696;
Moody's Investors Service;Masco Corporation;BB-;12-12-2012;62996;0;3430.0;Manuf;MAS;14.511;0.8128;54.245;249.233;-29.986;-29.986;0.6695;-54.672;-80.614;0.9826;-474.394;26.171;-48.239;-88.799;-0.6456;-0.6696;
Moody's Investors Service;Masonite International Corporation;B-;15-06-2012;893691;0;2430.0;Other;DOOR;27.185;0.2448;0.3241;124.471;-0.4387;-0.4387;44.086;-17.266;-0.4388;0.9746;-0.4893;-0.6997;-0.2717;-0.3696;-14.155;-0.88;
Standard & Poor's Ratings Services;McCormick & Co. Inc.;A-;28-02-2012;63754;1;2090.0;NoDur;MKC;12.311;0.3888;0.7736;411.754;146.122;146.122;172.707;132.897;101.201;0.9045;215.508;-819.357;85.327;131.712;-0.1726;-0.223;
Moody's Investors Service;McCormick & Company, Incorporated;A;15-06-2012;63754;1;2090.0;NoDur;MKC;12.311;0.3888;0.7736;411.754;146.122;146.122;172.707;132.897;101.201;0.9045;215.508;-819.357;85.327;131.712;-0.1726;-0.223;
Moody's Investors Service;McKesson Canada Corporation;BBB+;15-06-2012;927653;1;5122.0;Shops;MCK;10.884;0.3102;0.5826;52.338;17.364;17.364;21.395;15.476;1.147;36.963;201.874;2.814.286;4.167;139.251;28.633;27.529;
Moody's Investors Service;McKesson Corporation;BBB;29-11-2012;927653;1;5122.0;Shops;MCK;10.884;0.3102;0.5826;52.338;17.364;17.364;21.395;15.476;1.147;36.963;201.874;2.814.286;4.167;139.251;28.633;27.529;
Moody's Investors Service;Merck Sharp & Dohme Corp.;AA-;15-06-2012;64978;1;2834.0;Hlth;MRK;18.582;0.2142;0.3148;599.974;72.955;72.955;233.457;35.945;18.679;0.4347;17.287;197.546;0.9283;13.585;19.763;20.813;
Standard & Poor's Ratings Services;Merck Sharpe & Dohme Corp.;AAA;23-05-2012;64978;1;2834.0;Hlth;MRK;18.582;0.2142;0.3148;599.974;72.955;72.955;233.457;35.945;18.679;0.4347;17.287;197.546;0.9283;13.585;19.763;20.813;
Standard & Poor's Ratings Services;Meritage Homes Corporation;B+;27-03-2012;833079;0;1531.0;Other;MTH;18.559;0.5536;12.403;163.842;0.9957;0.9957;18.291;-23.659;-24.506;0.7051;-43.169;-43.169;-1.728;-19.269;-32.965;-33.213;
Standard & Poor's Ratings Services;Meritage Homes Corporation;B+;16-04-2012;833079;0;1531.0;Other;MTH;18.559;0.5536;12.403;163.842;0.9957;0.9957;18.291;-23.659;-24.506;0.7051;-43.169;-43.169;-1.728;-19.269;-32.965;-33.213;
Moody's Investors Service;Meritage Homes Corporation;B+;15-06-2012;833079;0;1531.0;Other;MTH;18.559;0.5536;12.403;163.842;0.9957;0.9957;18.291;-23.659;-24.506;0.7051;-43.169;-43.169;-1.728;-19.269;-32.965;-33.213;
Moody's Investors Service;Meritage Homes Corporation;B+;12-09-2012;833079;0;1531.0;Other;MTH;18.559;0.5536;12.403;163.842;0.9957;0.9957;18.291;-23.659;-24.506;0.7051;-43.169;-43.169;-1.728;-19.269;-32.965;-33.213;
Standard & Poor's Ratings Services;Meritage Homes Corporation;B+;21-12-2012;833079;0;1531.0;Other;MTH;18.559;0.5536;12.403;163.842;0.9957;0.9957;18.291;-23.659;-24.506;0.7051;-43.169;-43.169;-1.728;-19.269;-32.965;-33.213;
Standard & Poor's Ratings Services;Meritor Inc.;B-;13-02-2012;1113256;0;3714.0;Durbl;MTOR;11.644;-863.636;-1.076;102.986;37.646;37.646;51.926;34.401;1.363;17.356;-85.328;-58.908;30.792;-7.454.545;-19.856;-24.413;
Standard & Poor's Ratings Services;Meritor Inc.;B-;28-09-2012;1113256;0;3714.0;Durbl;MTOR;11.644;-863.636;-1.076;102.986;37.646;37.646;51.926;34.401;1.363;17.356;-85.328;-58.908;30.792;-7.454.545;-19.856;-24.413;
Standard & Poor's Ratings Services;Meritor Inc.;B-;28-11-2012;1113256;0;3714.0;Durbl;MTOR;12.626;173.667;-10.794;109.945;39.462;39.462;53.832;3.125;11.861;17.529;-81.466;-56.537;31.987;1.333.333;0.3691;0.7222;
Moody's Investors Service;Meritor, Inc.;B-;15-06-2012;1113256;0;3714.0;Durbl;MTOR;11.644;-863.636;-1.076;102.986;37.646;37.646;51.926;34.401;1.363;17.356;-85.328;-58.908;30.792;-7.454.545;-19.856;-24.413;
Standard & Poor's Ratings Services;Methanex Corp.;BBB-;29-11-2012;886977;1;2860.0;Chems;MEOH;24.548;0.3867;0.6656;135.631;6.883;6.883;135.637;69.217;51.729;0.6405;55.886;55.886;25.898;34.276;0.3891;26.544;
Fitch Ratings;Methanex Corp.;BBB-;10-12-2012;886977;1;2860.0;Chems;MEOH;24.548;0.3867;0.6656;135.631;6.883;6.883;135.637;69.217;51.729;0.6405;55.886;55.886;25.898;34.276;0.3891;26.544;
Moody's Investors Service;Methanex Corporation;BB+;15-06-2012;886977;0;2860.0;Chems;MEOH;24.548;0.3867;0.6656;135.631;6.883;6.883;135.637;69.217;51.729;0.6405;55.886;55.886;25.898;34.276;0.3891;26.544;
Moody's Investors Service;Methanex Corporation;BB+;12-12-2012;886977;0;2860.0;Chems;MEOH;24.548;0.3867;0.6656;135.631;6.883;6.883;135.637;69.217;51.729;0.6405;55.886;55.886;25.898;34.276;0.3891;26.544;
Standard & Poor's Ratings Services;Micron Technology Inc.;BB-;12-04-2012;827054;0;3674.0;BusEq;MCHP;81.326;0.1514;0.1784;577.869;286.671;286.671;375.509;27.451;243.429;0.4485;169.141;186.362;109.186;14.354;-0.4841;-0.3167;
Standard & Poor's Ratings Services;Micron Technology Inc.;BB-;11-12-2012;827054;0;3674.0;BusEq;MCHP;81.326;0.1514;0.1784;577.869;286.671;286.671;375.509;27.451;243.429;0.4485;169.141;186.362;109.186;14.354;-0.4841;-0.3167;
Moody's Investors Service;Micron Technology, Inc.;BB-;20-08-2012;827054;0;3674.0;BusEq;MCHP;81.326;0.1514;0.1784;577.869;286.671;286.671;375.509;27.451;243.429;0.4485;169.141;186.362;109.186;14.354;-0.4841;-0.3167;
Standard & Poor's Ratings Services;Microsoft Corp.;AAA;16-11-2012;789019;1;7372.0;BusEq;MSFT;26.029;0.139;0.18;762.218;29.52;29.52;419.449;302.036;230.295;0.6079;255.835;341.328;140.001;220.276;0.5767;0.5798;
Standard & Poor's Ratings Services;Microsoft Corp.;AAA;21-11-2012;789019;1;7372.0;BusEq;MSFT;26.029;0.139;0.18;762.218;29.52;29.52;419.449;302.036;230.295;0.6079;255.835;341.328;140.001;220.276;0.5767;0.5798;
Fitch Ratings;Microsoft Corporation;AA;15-06-2012;789019;1;7372.0;BusEq;MSFT;26.037;0.1728;0.2088;77.729;388.331;388.331;427.877;401.341;330.984;0.6434;40.555;529.046;212.964;335.488;0.4447;0.3921;
Moody's Investors Service;Millicom International Cellular S.A.;BB;24-10-2012;912958;0;4812.0;Telcm;TIGO;10.511;0.3625;0.7445;66.048;265.731;265.731;43.842;477.052;422.148;0.5604;192.113;692.657;86.758;122.465;13.975;28.732;
Standard & Poor's Ratings Services;Mobile TeleSystems PJSC;BB;03-02-2012;1115837;0;4812.0;Telcm;MBT;10.765;0.6792;24.408;712.946;228.018;228.018;413.594;17.042;117.216;0.8037;439.064;1.760.332;102.285;140.855;0.1317;-0.128;
Moody's Investors Service;Mobile TeleSystems PJSC;BB;15-06-2012;1115837;0;4812.0;Telcm;MBT;10.765;0.6792;24.408;712.946;228.018;228.018;413.594;17.042;117.216;0.8037;439.064;1.760.332;102.285;140.855;0.1317;-0.128;
Standard & Poor's Ratings Services;Mohawk Industries Inc.;BBB-;14-03-2012;851968;1;2273.0;NoDur;MHK;21.438;0.2848;0.5054;263.693;59.065;59.065;114.859;36.218;34.259;0.8721;58.056;155.045;31.142;4.152;-5.172;-58.513;
Standard & Poor's Ratings Services;Mohawk Industries Inc.;BBB-;29-11-2012;851968;1;2273.0;NoDur;MHK;21.438;0.2848;0.5054;263.693;59.065;59.065;114.859;36.218;34.259;0.8721;58.056;155.045;31.142;4.152;-5.172;-58.513;
Standard & Poor's Ratings Services;Mohawk Industries Inc.;BBB-;06-12-2012;851968;1;2273.0;NoDur;MHK;21.438;0.2848;0.5054;263.693;59.065;59.065;114.859;36.218;34.259;0.8721;58.056;155.045;31.142;4.152;-5.172;-58.513;
Fitch Ratings;Mohawk Industries, Inc.;BBB-;21-12-2012;851968;1;2273.0;NoDur;MHK;21.438;0.2848;0.5054;263.693;59.065;59.065;114.859;36.218;34.259;0.8721;58.056;155.045;31.142;4.152;-5.172;-58.513;
Standard & Poor's Ratings Services;Mondelez International, Inc.;A;28-03-2012;1103982;1;2052.0;NoDur;MDLZ;0.8784;0.3953;0.7623;36.582;97.682;97.682;139.151;52.499;99.246;0.3816;49.932;-6.496;18.799;30.194;0.3717;0.3576;
Fitch Ratings;Mondelez International, Inc.;BBB-;15-06-2012;1103982;1;2052.0;NoDur;MDLZ;0.8784;0.3953;0.7623;36.582;97.682;97.682;139.151;52.499;99.246;0.3816;49.932;-6.496;18.799;30.194;0.3717;0.3576;
Standard & Poor's Ratings Services;Mondelez International, Inc.;BBB-;18-06-2012;1103982;1;2052.0;NoDur;MDLZ;0.8784;0.3953;0.7623;36.582;97.682;97.682;139.151;52.499;99.246;0.3816;49.932;-6.496;18.799;30.194;0.3717;0.3576;
Fitch Ratings;Mondelez International, Inc.;BBB;10-09-2012;1103982;1;2052.0;NoDur;MDLZ;0.8784;0.3953;0.7623;36.582;97.682;97.682;139.151;52.499;99.246;0.3816;49.932;-6.496;18.799;30.194;0.3717;0.3576;
Standard & Poor's Ratings Services;Mondelez International, Inc.;BBB-;02-10-2012;1103982;1;2052.0;NoDur;MDLZ;0.8784;0.3953;0.7623;36.582;97.682;97.682;139.151;52.499;99.246;0.3816;49.932;-6.496;18.799;30.194;0.3717;0.3576;
Moody's Investors Service;MoneyGram International, Inc.;B+;15-06-2012;1273931;0;6099.0;Money;MGI;10.144;11.573;-73.584;378.266;114.281;114.281;183.203;31.896;-351.659;0.2411;-151.492;-110.225;11.477;84.772;-19.661;0.3242;
Standard & Poor's Ratings Services;Moody's Corporation;BBB+;30-07-2012;1059556;1;7323.0;Other;MCO;14.382;13.209;-41.542;702.362;380.315;380.315;412.943;351.575;249.902;0.7999;-1.720.511;-550.445;202.102;552.102;0.0539;0.1014;
Standard & Poor's Ratings Services;Moody's Corporation;BBB+;15-08-2012;1059556;1;7323.0;Other;MCO;14.382;13.209;-41.542;702.362;380.315;380.315;412.943;351.575;249.902;0.7999;-1.720.511;-550.445;202.102;552.102;0.0539;0.1014;
Standard & Poor's Ratings Services;Mosaic Co. (The);BBB;27-04-2012;1285785;1;2870.0;Chems;MOS;34.664;0.0613;0.0714;314.134;268.088;268.088;316.287;329.178;253.034;0.6295;215.531;255.642;159.214;202.323;23.865;16.027;
Moody's Investors Service;Mosaic Company (The);BBB+;15-06-2012;1285785;1;2870.0;Chems;MOS;34.318;0.0776;0.0878;277.733;235.069;235.069;283.729;236.672;17.377;0.6655;160.908;190.133;115.683;148.416;0.7761;-0.1567;
